Clave,Descripcion,PrecioPublico
10360,30290-1 TIRA HOOKIT TRIZACT P3000 70 X 140 MM PIEZA,77.71
10361,30662-1 DISCO HOOKIT TRIZACT P5000 6 PUL PIEZA,145.7
10362,5930-1 ABRILLANTADOR TRIZACT PFIII .946,811.72
10363,5931-4 ABRILLANTADOR TRIZACT PFIII 05931 3.780,"2,180.43"
10368,8300-1 SELLADOR  BEIGE    (ULTRAPRO)   300 PIEZA,563.21
10369,8609-1 SELLADOR URETANO P/PARABRISAS 3M SUPERFAST PIEZA,370.95
10370,8695-1 ADHESIVO URETANO PARA PARABRISAS 3M PIEZA,436.52
10372,0539-1 TIRA REGALITE P80 VERDE 3M PIEZA,46.46
10373,0540-1 TIRA REGALITE P60 VERDE 3M PIEZA,46.46
10375,0543-1 TIRA REGALITE P36 VERDE 3M PIEZA,65.05
10376,2469-1 TIRA HOOKIT GOLD FILM P220 3M AMARILLA PIEZA,28.41
10377,2470-1 TIRA HOOKIT GOLD FILM P180 3M AMARILLA PIEZA,40.87
10378,2473-1 TIRA HOOKIT GOLD FILM P120 3M AMARILLA PIEZA,28.41
10379,05207-1 GARLOPA HOOKIT CLEAN SANDING 70MM X 127MM PIEZA,"1,133.06"
10380,05208-1 GARLOPA HOOKIT CLEAN SANDING   70MM X 198MM PIEZA,"1,330.83"
10381,05209-1 GARLOPA HOOKIT CLEAN SANDING 70MM X 396MM PIEZA,"2,260.63"
10387,1181-1 TIRA HOOKIT RED 80 2 3/4 X 16 1/2 PIEZA,22.41
10389,2668-1 TIRA HOOKIT II PURPURA G-P320 PIEZA,14
10393,2673-1 TIRA HOOKIT II IMP  PURPURA P120 PIEZA,15.58
10394,DSC 30703-1 TIRA HOOTKIT CLEAN SAND P400 .07 X12M PIEZA,23.99
10395,DSC 30705-1 TIRA IMPERIAL HOOKIT CLEAN SANDING P320 PIEZA,23.99
10397,DSC 30710-1 TIRA IMPERIAL HOOKIT CLEAN SANDING P150 PIEZA,23.99
10400,30716-1 PN30716 TIRA IMPERIAL HOOKITÖ CLEAN SANDING 3 PIEZA,36.74
10401,30770-1 DISCO HOOKIT LIBRE DE POLVO 7 PERF. GP800 PIEZA,33.9
10402,30771-1 DISCO HOOKIT P600 LIBRE DE POLVO 7 PERF 6P PIEZA,33.9
10403,"6016-1 TELA PARA DETALLADO PERFEC-IT III , 1PIEZA PIEZA",132.39
10404,6016-6 TELA P/DETALLADO PEFECT-IT III (BOLSA 6 PZAS) P6,793.5
10405,6349-1 TRIMMASKING TAPE ENM.MOLD.PARABRI PIEZA PIEZA,518.01
10408,1130-1 TAPON AUIDITIVO PIEZA,4.12
10411,11560-1 VIRTUA PLUS CON BANDA ELASTICA MICA GRIS ANTI PIEZA,81.03
10414,1620-1 GOGLES DE SEGURIDAD 3M PIEZA,41.47
10415,16398-1 BATERIA DE REPUESTO NICADPPSO SUN GUN PIEZA,"3,383.50"
10417,16611-1 KIT BOQUILLAS ATOMIZADORAS 3M ACCUSPRAY 4BOQ PIEZA,590
10423,1816-1 DISCO PURPU HOOKIT CLEAN SANDING G180 PERFORA PIEZA,17.69
10424,1987-1 RUEDA DE CORTE USO GRAL 76.2 X .79 X 9MM PIEZA,57.14
10427,"2087-1 DISCO TRIZACT HOOKIT PARA MATIZADO 3"". GP3000 PIEZA",60.32
10428,"2090-1 SCOTCH MASKING TAPE   1"".  X 60YD. P 24MM X55 PIEZA",129.3
10429,2090-2 PN 02090 SCOTCH MASKING TAPE AZUL   48 MM X 5 PIEZA,225.86
10430,"2094-1 DISCO HOOKIT TRIZACT  CLEAR COAT 3"". P1500 PIEZA",29.12
10431,"22398-1 DISCO ROLOC 36"". YF  DE 50MM X 2 PIEZA",31.34
10433,26419-1 TIRA ANTIDERRAPANTE SW .60 X 18.2 M PIEZA,"3,974.33"
10434,"27663-1 DISCO CLEAN & STRIP   MORADO 114 MM 4"". P25",182.31
10436,38112-946 CERA LIQUIDA DURABLE GLAZE PERFORMANC FINISSH PIEZA,652.2
10437,39000-1 SHAMPOO PARA AUTOMOVIL .473 PIEZA,152.45
10439,39030-1 CERA LIQUIDA DURABLE GLAZE PERFOR FINISH .473 PIEZA,245.51
10441,39061-1 PERFECT IT REMOVEDOR DE MARCAS CIRCULAR .473L PIEZA,424.31
10449,4904-1 PELICULA CON MALLA FIB VIDRIO 12.7 CM X 3.6 PIEZA,572.5
10455,50787-1 LIJA DE AGUA CAFE P150 WETORDRY 201Q PIEZA,4.22
10457,50789-1 LIJA DE AGUA CAFE P220 WETORDRY 201Q PIEZA,4.22
10458,50790-1 LIJA DE AGUA CAFE P240 WETORDRY 201Q PIEZA,4.22
10460,50792-1 LIJA DE AGUA CAFE P320 WETORDRY 201Q PIEZA,4.22
10461,50793-1 LIJA DE AGUA CAFE P360 WETORDRY 201Q PIEZA,4.22
10462,50794-1 LIJA DE AGUA CAFE P400 WETORDRY 201Q PIEZA,4.22
10464,50796-1 LIJA DE AGUA CAFE P600 WETORDRY 201Q PIEZA,4.22
10468,5708-1 PERFECT IT ULTRAFINA BORLA DE ESPONJA PIEZA,"1,087.40"
10469,"5733-1 PERFEC IT ULTRAFINA BORLA ESPONJA AZUL 8"" PIEZA",613.41
10470,5753-1 PERFECT IT BORLA DE LANA 2 CARAS P9 PIEZA,"1,297.16"
10472,5916-1 PAPEL PROTECTOR ANTICHISPAS ROLLO,"3,871.03"
10473,5919-1 MANTA PARA SOLDADURA DE ALTO DESEMPENO 59X80M PIEZA,"8,586.65"
10476,6068-1 *K PERFECT IT ULTRAFINA ELIMINADOR  MARCAS BORLA .946,"1,568.98"
10477,6084-1 PROMOTOR DE BRILLO PERFECT-IT CLEAN SHINE 16O PIEZA,286.65
10484,610-1 SAFETY WALK NEGRO USO GENERAL  .051 X 18M PIEZA,"1,206.73"
10486,6520-1 ADH./SELL USO MARINO  5200FC BCO 295 ML PIEZA,690.97
10487,6647-1 PAQUETE PINTOR PIEZA,"1,304.75"
10488,6700-1 PELICULA PLASTICA AMARILLA 3.65X106.6 MTS. PIEZA,846.25
10489,6742-1 PELICULA PLASTICA PINTAB ROLLO,"1,787.29"
10492,8011-1 ADHESIVO WEATHERSTRIP NEGRO  147ML PIEZA,374.81
10493,8061-1 ADHESIVO PARA EMBLEMAS 142 GR PIEZA,327.36
10494,8193-1 BOQUILLA MEZCLADORA ADHESIVO AUTOMIX (6 BOQ) PIEZA,179.82
10495,8272-1 ADHESIVO TRUK LINE ADLH 10-400 ML PIEZA,"2,231.94"
10499,8511-1 RESPIRADOR N95 CON SELLO FACIAL PIEZA,59.03
10500,8515-1 RESPIRADOR P/PARTICULAS N95 PIEZA,94.95
10506,8693-1 AUTO GLASS URETHANO   AD PIEZA,391.95
10507,8840-1 PLACAS ANTISONORAS 500MM X 500MM PIEZA,287.02
10508,8892-1 CERA CAVIDADES RUST FINGHTER -554ML PIEZA,317.65
10509,9002M-1 RESP. PLEGABLE PARA PARTICULAS TIPO 1 PIEZA,13.68
10510,3M9010 RESPIRADOR DESECHABLE PIEZA,15.01
10516,COVER-4 COVERCRYL ANTICORROSIVO BASE AGUA 3.7 KG 3.7KG,807.6
10521,SUPER33-1 SUPERR 33 S-33 CINTA 0.018 X 20 MTS PIEZA,131.16
10527,417-1 ECONOMICO MEZCLADORES ROJOS PIEZA,77.38
10542,EMM-5460 SOLVETERA DOSIFICADORA DE LIQUIDOS DE 2 LT. PIEZA,"2,125.00"
10556,SAT-57620 SET DE REPARACI¢N PARA JET NR 2000 Y PIEZA,"1,401.00"
10559,EMM9315-1 COLOR TEST DE LAMINA PRUEBA DE COLOR PIEZA,9.25
10568,DEX1911 TAPAS POR GALON PIEZA,423.22
10569,D8460AL-SM-500 D846 DX103 DESENGRASANTE PARA PLASTICOS .500LT,111.76
10571,MX190-SM-1 WAX AND GREASE REMOVER LITRO,229.19
10572,MX190-SM-250 WAX AND GREASE REMOVER .250LT,70.74
10573,MX190-SM-500 WAX AND GREASE REMOVER .500LT,127.33
10594,ARCD1001 CATALOGO COLORES PPG 2014 DELTRON PIEZA,"21,427.73"
10595,ARMC464 A-CHROMATIC SPAYOUT CARD PIEZA,660.49
